ID,Lead_Name,Email,Phone,Source,Date,Region,Industry,Status,Follow_up_Days,Ad_Spend,Revenue
1,Raj Bose,raj.bose@example.com,+918216534332,Apollo.io,2026-03-17,India,Tech,New,24,100.23,0.0
2,Neha Tv,neha.tv@example.com,+17842459488,LinkedIn Sales Navigator,2026-01-09,Other,Tech,Converted,28,79.44,2439.549369303525
3,Priya Bose,priya.bose@example.com,+12324651201,Meta Ads,2025-12-29,US,Tech,New,15,107.95,0.0
4,Anita Singh,anita.singh@example.com,+16242086783,WhatsApp Business,2026-01-30,US,Healthcare,New,15,125.59,0.0
5,Vikram Desai,vikram.desai@example.com,+919574081104,HubSpot,2026-01-26,India,Finance,Converted,6,134.86,4418.089275788177
6,Arjun Reddy,arjun.reddy@example.com,+917235286733,Apollo.io,2026-01-23,India,Healthcare,New,12,106.5,0.0
7,Priya Desai,priya.desai@example.com,+917033015788,LinkedIn Sales Navigator,2026-01-12,India,Finance,Converted,27,144.28,6534.956499110611
8,Arjun Kumar,arjun.kumar@example.com,+16172957943,Meta Ads,2026-01-08,Europe,Healthcare,New,29,28.26,0.0
9,Neha Tv,neha.tv@example.com,+15060136033,WhatsApp Business,2026-03-22,US,Healthcare,Converted,20,42.4,2677.7737390223942
10,Anita Tv,anita.tv@example.com,+14295741120,HubSpot,2026-03-05,US,HR,New,18,163.75,0.0
11,Sonia Reddy,sonia.reddy@example.com,+918097447932,Apollo.io,2026-01-06,India,Healthcare,Converted,14,64.51,3453.269008019168
12,Amit Singh,amit.singh@example.com,+16538133249,LinkedIn Sales Navigator,2026-03-11,Other,Retail,Converted,2,4.58,4668.530661847093
13,Anita Sharma,anita.sharma@example.com,+11515328854,Meta Ads,2026-02-18,Europe,HR,New,9,30.76,0.0
14,Vikram Bose,vikram.bose@example.com,+919136253713,WhatsApp Business,2025-12-30,India,Healthcare,Contacted,5,44.72,0.0
15,Vikram Sharma,vikram.sharma@example.com,+918849649210,HubSpot,2025-12-29,India,Tech,Converted,20,191.46,3908.070476430883
16,Neha Reddy,neha.reddy@example.com,+917754603440,Apollo.io,2026-01-06,India,Retail,Contacted,26,114.61,0.0
17,Neha Desai,neha.desai@example.com,+917554848380,LinkedIn Sales Navigator,2026-01-22,India,Retail,New,29,186.55,0.0
18,Vikram Desai,vikram.desai@example.com,+14022245086,Meta Ads,2026-01-24,US,Retail,Contacted,1,115.03,0.0
19,Neha Reddy,neha.reddy@example.com,+919148610411,WhatsApp Business,2026-02-28,India,HR,Contacted,23,95.87,0.0
20,Raj Kumar,raj.kumar@example.com,+919399699438,HubSpot,2026-03-13,India,Healthcare,Contacted,3,62.75,0.0
21,Anita Desai,anita.desai@example.com,+18757570742,Apollo.io,2025-12-29,US,Healthcare,Contacted,6,121.27,0.0
22,Raj Bose,raj.bose@example.com,+917309561891,LinkedIn Sales Navigator,2026-03-07,India,Tech,Contacted,5,27.84,0.0
23,Arjun Gupta,arjun.gupta@example.com,+918705407682,Meta Ads,2026-01-20,India,Tech,New,21,179.65,0.0
24,Anita Reddy,anita.reddy@example.com,+917181686832,WhatsApp Business,2026-03-19,India,Retail,Contacted,27,165.87,0.0
25,Singh Gupta,singh.gupta@example.com,+918873548915,HubSpot,2026-03-25,India,Tech,Contacted,5,63.51,0.0
26,Neha Kumar,neha.kumar@example.com,+15375461598,Apollo.io,2026-03-05,Europe,HR,New,1,190.56,0.0
27,Anita Bose,anita.bose@example.com,+917334417350,LinkedIn Sales Navigator,2026-02-17,India,Healthcare,Converted,17,165.04,6280.189764504457
28,Arjun Singh,arjun.singh@example.com,+18997701619,Meta Ads,2026-01-23,US,Retail,Contacted,19,133.26,0.0
29,Rahul Mehta,rahul.mehta@example.com,+17767834064,WhatsApp Business,2026-02-21,US,Tech,Contacted,14,24.35,0.0
30,Rahul Kumar,rahul.kumar@example.com,+919462732890,HubSpot,2026-03-11,India,HR,Converted,12,95.65,1372.29964905894
31,Sonia Mehta,sonia.mehta@example.com,+18044354825,Apollo.io,2026-01-30,US,HR,Contacted,10,101.22,0.0
32,Raj Sharma,raj.sharma@example.com,+918243458354,LinkedIn Sales Navigator,2025-12-26,India,Tech,Converted,20,46.51,3777.382377849035
33,Neha Reddy,neha.reddy@example.com,+917494665880,Meta Ads,2026-01-15,India,Healthcare,Contacted,21,15.99,0.0
34,Arjun Singh,arjun.singh@example.com,+12739600515,WhatsApp Business,2026-03-25,Other,Tech,New,18,155.34,0.0
35,Priya Kumar,priya.kumar@example.com,+19444763362,HubSpot,2026-02-18,Other,Retail,Contacted,24,24.41,0.0
36,Neha Kumar,neha.kumar@example.com,+12554145481,Apollo.io,2026-02-07,Europe,Tech,Contacted,27,118.86,0.0
37,Amit Patel,amit.patel@example.com,+918875662813,LinkedIn Sales Navigator,2026-01-30,India,HR,Contacted,11,187.29,0.0
38,Singh Tv,singh.tv@example.com,+917454678712,Meta Ads,2026-01-14,India,Tech,New,30,175.22,0.0
39,Amit Mehta,amit.mehta@example.com,+16340003593,WhatsApp Business,2026-01-22,US,Healthcare,New,2,55.55,0.0
40,Arjun Sharma,arjun.sharma@example.com,+919529182928,HubSpot,2026-02-07,India,Finance,New,25,170.29,0.0
41,Rahul Desai,rahul.desai@example.com,+918719918855,Apollo.io,2026-01-08,India,Tech,New,18,0.07,0.0
42,Arjun Kumar,arjun.kumar@example.com,+919250402001,LinkedIn Sales Navigator,2026-01-06,India,Healthcare,Contacted,29,3.54,0.0
43,Anita Mehta,anita.mehta@example.com,+917337786687,Meta Ads,2026-02-12,India,Healthcare,New,25,120.51,0.0
44,Anita Kumar,anita.kumar@example.com,+12458198451,WhatsApp Business,2026-01-07,Other,HR,Contacted,7,72.96,0.0
45,Raj Tv,raj.tv@example.com,+918430518844,HubSpot,2026-02-09,India,Healthcare,Contacted,24,77.29,0.0
46,Priya Desai,priya.desai@example.com,+14346285771,Apollo.io,2026-02-08,US,Healthcare,Contacted,15,112.89,0.0
47,Amit Patel,amit.patel@example.com,+917328046924,LinkedIn Sales Navigator,2026-03-13,India,Healthcare,Converted,11,38.36,2273.441029736951
48,Sonia Mehta,sonia.mehta@example.com,+13190227431,Meta Ads,2026-01-28,US,Healthcare,Contacted,18,42.35,0.0
49,Singh Reddy,singh.reddy@example.com,+16795522649,WhatsApp Business,2025-12-31,US,Retail,Converted,23,96.92,5757.2902085796295
50,Amit Sharma,amit.sharma@example.com,+919772156452,HubSpot,2026-02-22,India,Retail,Contacted,12,150.85,0.0
51,Rahul Patel,rahul.patel@example.com,+14500557310,Apollo.io,2026-03-04,Other,HR,New,6,123.9,0.0
52,Rahul Reddy,rahul.reddy@example.com,+12014766981,LinkedIn Sales Navigator,2026-01-10,Europe,Tech,Converted,20,59.47,2649.446629406606
53,Sonia Bose,sonia.bose@example.com,+15923940434,Meta Ads,2026-02-12,Other,Healthcare,New,23,86.07,0.0
54,Vikram Mehta,vikram.mehta@example.com,+11847275937,WhatsApp Business,2026-01-05,Europe,Tech,New,30,34.13,0.0
55,Arjun Reddy,arjun.reddy@example.com,+13587283948,HubSpot,2026-03-06,US,Tech,Converted,13,14.93,5252.275019757032
56,Anita Reddy,anita.reddy@example.com,+13815389788,Apollo.io,2026-02-01,Other,HR,New,20,156.54,0.0
57,Rahul Patel,rahul.patel@example.com,+917760836806,LinkedIn Sales Navigator,2026-03-16,India,Healthcare,Converted,16,53.08,4713.854701610071
58,Rahul Mehta,rahul.mehta@example.com,+919697019445,Meta Ads,2026-03-15,India,Healthcare,Contacted,18,35.55,0.0
59,Neha Kumar,neha.kumar@example.com,+919122216473,WhatsApp Business,2026-02-10,India,Finance,Converted,10,138.32,5170.888127463266
60,Neha Reddy,neha.reddy@example.com,+918992663260,HubSpot,2026-03-09,India,Tech,Contacted,28,123.61,0.0
61,Rahul Kumar,rahul.kumar@example.com,+919421225455,Apollo.io,2026-01-19,India,Tech,Contacted,23,126.64,0.0
62,Neha Mehta,neha.mehta@example.com,+919488796494,LinkedIn Sales Navigator,2026-03-26,India,Retail,Converted,8,45.78,591.5472715200208
63,Priya Gupta,priya.gupta@example.com,+17977267911,Meta Ads,2026-01-03,Europe,Finance,New,18,46.53,0.0
64,Amit Gupta,amit.gupta@example.com,+919693878240,WhatsApp Business,2025-12-31,India,Retail,Converted,21,44.16,2691.229165643377
65,Vikram Singh,vikram.singh@example.com,+918357806226,HubSpot,2026-03-20,India,Retail,New,1,34.75,0.0
66,Sonia Sharma,sonia.sharma@example.com,+15943324387,Apollo.io,2026-01-24,US,Retail,Contacted,23,131.14,0.0
67,Raj Patel,raj.patel@example.com,+917293287259,LinkedIn Sales Navigator,2026-02-01,India,HR,New,8,169.6,0.0
68,Amit Desai,amit.desai@example.com,+17308968023,Meta Ads,2026-01-05,Europe,HR,Contacted,29,144.86,0.0
69,Raj Kumar,raj.kumar@example.com,+919711778437,WhatsApp Business,2026-01-24,India,Retail,New,6,158.42,0.0
70,Priya Desai,priya.desai@example.com,+15536224717,HubSpot,2026-01-07,Other,Finance,Converted,5,80.96,2417.657674778833
71,Anita Singh,anita.singh@example.com,+13178995337,Apollo.io,2026-02-12,Europe,Tech,Converted,15,130.82,4883.607409315839
72,Sonia Mehta,sonia.mehta@example.com,+918333191560,LinkedIn Sales Navigator,2026-01-30,India,Finance,Converted,22,70.85,1755.5483701878557
73,Anita Tv,anita.tv@example.com,+918983168873,Meta Ads,2026-02-22,India,Healthcare,New,15,105.1,0.0
74,Amit Desai,amit.desai@example.com,+12940955281,WhatsApp Business,2026-03-17,Europe,HR,Contacted,2,96.33,0.0
75,Anita Bose,anita.bose@example.com,+15539308214,HubSpot,2026-02-10,US,Tech,Contacted,1,35.38,0.0
76,Singh Bose,singh.bose@example.com,+18867077130,Apollo.io,2026-01-15,US,Tech,New,23,77.42,0.0
77,Anita Mehta,anita.mehta@example.com,+19919491730,LinkedIn Sales Navigator,2026-02-11,Europe,Healthcare,New,23,192.76,0.0
78,Singh Singh,singh.singh@example.com,+917387820537,Meta Ads,2026-02-09,India,Healthcare,Contacted,26,49.72,0.0
79,Neha Desai,neha.desai@example.com,+919641440900,WhatsApp Business,2026-01-21,India,Retail,Contacted,11,26.76,0.0
80,Anita Reddy,anita.reddy@example.com,+919551553388,HubSpot,2026-03-21,India,HR,Contacted,10,83.72,0.0
